"z","year","buffer","biomass","perc_change","agc_flux"
"29.757607599_-4.799507301","2007",20,14.3174648284912,NA,NA
"29.757607599_-4.799507301","2008",20,8.36899089813232,-41.5469777758535,-5.94847393035888
"29.757607599_-4.799507301","2009",20,4.05919122695923,-51.4972440958789,-4.30979967117309
"29.757607599_-4.799507301","2010",20,1.91555595397949,-52.8094182590544,-2.14363527297974
"29.757607599_-4.808490453","2007",20,3.57015538215637,NA,NA
"29.757607599_-4.808490453","2008",20,2.79998016357422,-21.5725965998983,-0.77017521858215
"29.757607599_-4.808490453","2009",20,0.523385107517242,-81.3075423059736,-2.27659505605698
"29.757607599_-4.808490453","2010",20,NA,NA,NA
"29.757607599_-4.817473605","2007",20,8.60845470428467,NA,NA
"29.757607599_-4.817473605","2008",20,6.83827924728394,-20.5632197393066,-1.77017545700073
"29.757607599_-4.817473605","2009",20,4.81204271316528,-29.6307954215741,-2.02623653411866
"29.757607599_-4.817473605","2010",20,3.52858519554138,-26.6717814892309,-1.2834575176239
"29.757607599_-4.826456757","2007",20,0.892407059669495,NA,NA
"29.757607599_-4.826456757","2008",20,0.676028430461884,-24.2466290313467,-0.216378629207611
"29.757607599_-4.826456757","2009",20,0.446203529834747,-33.9963365845595,-0.229824900627137
"29.757607599_-4.826456757","2010",20,0.229824870824814,-48.4932647417804,-0.216378659009933
"29.757607599_-4.835439909","2007",20,3.77108979225159,NA,NA
"29.757607599_-4.835439909","2008",20,3.89644598960876,3.3241371662573,0.12535619735717
"29.757607599_-4.835439909","2009",20,1.64426672458649,-57.8008593222772,-2.25217926502227
"29.757607599_-4.835439909","2010",20,0.626089692115784,-61.9228630760477,-1.01817703247071
"29.757607599_-4.844423061","2007",20,1.96691739559174,NA,NA
"29.757607599_-4.844423061","2008",20,3.1636598110199,60.8435523581367,1.19674241542816
"29.757607599_-4.844423061","2009",20,2.3090660572052,-27.0128207476011,-0.8545937538147
"29.757607599_-4.844423061","2010",20,2.07924103736877,-9.95315916230656,-0.22982501983643
"29.757607599_-4.853406213","2007",20,2.87618947029114,NA,NA
"29.757607599_-4.853406213","2008",20,3.30423521995544,14.8823905408767,0.4280457496643
"29.757607599_-4.853406213","2009",20,1.04402661323547,-68.4033810023504,-2.26020860671997
"29.757607599_-4.853406213","2010",20,1.4490602016449,38.7953317736047,0.40503358840943
"29.757607599_-4.862389365","2007",20,7.0065598487854,NA,NA
"29.757607599_-4.862389365","2008",20,7.37594509124756,5.27199153984524,0.36938524246216
"29.757607599_-4.862389365","2009",20,4.77080345153809,-35.3194283238467,-2.60514163970947
"29.757607599_-4.862389365","2010",20,5.61044454574585,17.5995742171491,0.839641094207759
"29.757607599_-4.871372517","2007",20,2.09093356132507,NA,NA
"29.757607599_-4.871372517","2008",20,4.13640022277832,97.8255215415354,2.04546666145325
"29.757607599_-4.871372517","2009",20,1.50511646270752,-63.6128908798731,-2.6312837600708
"29.757607599_-4.871372517","2010",20,2.21073126792908,46.881076827254,0.70561480522156
"29.766590751_-4.790524149","2007",20,8.25083541870117,NA,NA
"29.766590751_-4.790524149","2008",20,4.48881912231445,-45.5955803924996,-3.76201629638672
"29.766590751_-4.790524149","2009",20,1.90763664245605,-57.502483604809,-2.5811824798584
"29.766590751_-4.790524149","2010",20,1.10089600086212,-42.2900579512493,-0.80674064159393
"29.766590751_-4.799507301","2007",20,8.44396686553955,NA,NA
"29.766590751_-4.799507301","2008",20,6.4932279586792,-23.1021620279144,-1.95073890686035
"29.766590751_-4.799507301","2009",20,0.508878171443939,-92.1629399940634,-5.98434978723526
"29.766590751_-4.799507301","2010",20,1.49944710731506,194.657383919689,0.990568935871121
"29.766590751_-4.808490453","2007",20,6.37569284439087,NA,NA
"29.766590751_-4.808490453","2008",20,4.69612646102905,-26.3432763207758,-1.67956638336182
"29.766590751_-4.808490453","2009",20,0.166083693504333,-96.4633896705597,-4.53004276752472
"29.766590751_-4.808490453","2010",20,0.332167387008667,100.000000000001,0.166083693504334
"29.766590751_-4.817473605","2007",20,12.0206489562988,NA,NA
"29.766590751_-4.817473605","2008",20,6.85004425048828,-43.0143557524083,-5.17060470581052
"29.766590751_-4.817473605","2009",20,5.17060470581055,-24.5172072364061,-1.67943954467773
"29.766590751_-4.817473605","2010",20,4.73763561248779,-8.37366455099931,-0.43296909332276
"29.766590751_-4.826456757","2007",20,5.00113105773926,NA,NA
"29.766590751_-4.826456757","2008",20,5.33886432647705,6.75313773701546,0.33773326873779
"29.766590751_-4.826456757","2009",20,1.65832686424255,-68.9385838853705,-3.6805374622345
"29.766590751_-4.826456757","2010",20,1.443394780159,-12.9607792479272,-0.21493208408355
"29.766590751_-4.835439909","2007",20,2.9818229675293,NA,NA
"29.766590751_-4.835439909","2008",20,3.49946665763855,17.3599739403095,0.51764369010925
"29.766590751_-4.835439909","2009",20,0.972602307796478,-72.2071274583084,-2.52686434984207
"29.766590751_-4.835439909","2010",20,NA,NA,NA
"29.766590751_-4.844423061","2007",20,2.55102872848511,NA,NA
"29.766590751_-4.844423061","2008",20,2.14394688606262,-15.9575561763363,-0.40708184242249
"29.766590751_-4.844423061","2009",20,1.84748780727386,-13.8277249644561,-0.29645907878876
"29.766590751_-4.844423061","2010",20,0.778149902820587,-57.8806474523467,-1.06933790445327
"29.766590751_-4.853406213","2007",20,1.42447769641876,NA,NA
"29.766590751_-4.853406213","2008",20,0.670947074890137,-52.8987307714999,-0.753530621528623
"29.766590751_-4.853406213","2009",20,0.694194555282593,3.46487543689829,0.0232474803924559
"29.766590751_-4.853406213","2010",20,1.36514163017273,96.6511577747837,0.670947074890137
"29.775573903_-4.790524149","2007",20,8.34734535217285,NA,NA
"29.775573903_-4.790524149","2008",20,4.07376337051392,-51.1968991500573,-4.27358198165893
"29.775573903_-4.790524149","2009",20,1.19320642948151,-70.7099720588095,-2.88055694103241
"29.775573903_-4.790524149","2010",20,0.425480484962463,-64.3414186808104,-0.767725944519047
"29.775573903_-4.799507301","2007",20,8.73764801025391,NA,NA
"29.775573903_-4.799507301","2008",20,5.88091468811035,-32.694534259003,-2.85673332214356
"29.775573903_-4.799507301","2009",20,1.80679357051849,-69.2769974342367,-4.07412111759186
"29.775573903_-4.799507301","2010",20,1.68770802021027,-6.59098815998368,-0.11908555030822
"29.775573903_-4.808490453","2007",20,3.5170476436615,NA,NA
"29.775573903_-4.808490453","2008",20,5.09653949737549,44.9095950281079,1.57949185371399
"29.775573903_-4.808490453","2009",20,3.09653949737549,-39.2423133585037,-2
"29.775573903_-4.808490453","2010",20,2.45173025131226,-20.8235433977105,-0.64480924606323
"29.775573903_-4.817473605","2007",20,3.88268971443176,NA,NA
"29.775573903_-4.817473605","2008",20,4.88268947601318,25.7553354795381,0.99999976158142
"29.775573903_-4.817473605","2009",20,2.30925893783569,-52.7051853454902,-2.57343053817749
"29.775573903_-4.817473605","2010",20,0.309258937835693,-86.6078709161329,-2
"29.775573903_-4.826456757","2007",20,3.7211799621582,NA,NA
